L1_MARKS_CORRECTED,L1_Marks_Corrected,L2_MARKS_CORRECTED,L3_MARKS_CORRECTED,S1_MARKS_CORRECTED,S2_MARKS_CORRECTED,S3_MARKS_CORRECTED,L1_Marks_Class,L2_Marks_Class,L3_Marks_Class,S1_Marks_Class,S2_Marks_Class,S3_Marks_Class,NRC_CLASS
64,51,47,36,64,47,47,PASS,FAIL,PASS,PASS,PASS,PASS,FAIL
44,35,6,36,35,37,42,PASS,PASS,1,PASS,PASS,1,PASS
53,42,35,75,44,39,65,FAIL,FAIL,PASS,PASS,FAIL,PASS,FAIL
24,19,16,35,35,20,38,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL
45,36,35,35,38,40,14,D,1,1,1,2,1,1
107,85,71,74,63,53,64,D,D,D,1,1,D,D   
118,94,97,92,60,82,94,FAIL,PASS,PASS,PASS,FAIL,2,FAIL
8,6,35,35,35,19,51,PASS,2,2,1,PASS,PASS,PASS
38,30,55,56,60,45,35,1,PASS,FAIL,PASS,PASS,PASS,FAIL
101,80,45,10,46,44,40,PASS,PASS,PASS,PASS,PASS,PASS,PASS
45,36,30,35,45,41,30,PASS,PASS,PASS,PASS,PASS,PASS,PASS
38,30,35,35,40,35,42,PASS,PASS,PASS,PASS,1,2,PASS
38,30,46,47,47,63,57,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
49,39,8,12,10,7,11,1,PASS,1,2,PASS,1,2
78,62,37,75,54,47,68,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL
20,16,35,15,22,19,22,1,PASS,D,2,PASS,1,1
105,84,37,88,59,47,66,FAIL,PASS,PASS,PASS,PASS,FAIL,FAIL
15,12,42,41,38,35,18,PASS,PASS,PASS,PASS,2,PASS,PASS
45,36,35,30,30,51,30,1,D,D,1,1,1,1
102,81,85,92,69,69,75,1,FAIL,1,2,2,1,FAIL
98,78,8,74,50,53,65,2,PASS,PASS,PASS,PASS,PASS,PASS
70,56,37,39,37,40,48,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL
4,3,9,16,17,17,45,PASS,FAIL,PASS,PASS,2,PASS,FAIL
45,36,9,40,31,55,37,FAIL,FAIL,FAIL,PASS,PASS,PASS,FAIL
32,25,19,19,30,30,35,PASS,PASS,1,2,PASS,PASS,PASS
47,37,30,60,53,35,35,PASS,N/A,PASS,PASS,PASS,PASS,FAIL
52,41,N/A,42,37,35,47,PASS,PASS,1,PASS,2,1,PASS
48,38,30,61,41,52,64,1,PASS,PASS,2,PASS,1,2
101,80,48,36,55,41,60,2,FAIL,FAIL,2,PASS,PASS,PASS
66,52,0,0,52,35,40,PASS,PASS,PASS,PASS,PASS,1,PASS
44,35,30,40,42,35,68,PASS,PASS,2,2,PASS,PASS,PASS
48,38,30,54,53,47,35,PASS,2,1,1,2,2,2
38,30,56,76,62,53,52,1,2,1,2,PASS,1,2
75,60,54,75,52,30,70,D,1,1,1,2,1,1
109,87,80,80,65,50,76,FAIL,PASS,PASS,PASS,PASS,2,FAIL
20,16,35,35,30,43,59,2,PASS,1,2,PASS,2,2
73,58,30,67,54,39,57,D,PASS,1,2,2,D,1
108,86,44,75,58,57,98,2,1,1,PASS,1,1,1
65,52,70,61,45,60,74,2,PASS,PASS,PASS,PASS,PASS,PASS
63,50,30,36,38,30,36,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
14,11,15,4,10,9,15,1,PASS,PASS,2,PASS,2,PASS
82,65,30,37,52,46,50,D,D,1,1,1,1,1
121,96,88,80,83,72,83,PASS,N/A,N/A,PASS,PASS,PASS,FAIL
48,38,N/A,N/A,38,39,35,PASS,PASS,PASS,PASS,PASS,1,PASS
38,30,30,35,49,30,64,1,PASS,PASS,PASS,PASS,1,PASS
75,60,30,42,46,47,67,PASS,PASS,PASS,2,PASS,2,PASS
47,37,30,30,52,38,57,1,PASS,1,2,PASS,1,2
75,60,30,75,54,45,72,D,1,D,1,D,1,D   
119,95,81,91,84,88,82,1,PASS,2,1,1,D,1
95,76,42,55,80,60,92,1,2,1,PASS,PASS,1,2
77,61,50,64,49,44,63,2,2,2,PASS,PASS,2,PASS
68,54,52,55,30,30,54,1,PASS,2,2,PASS,PASS,PASS
92,73,30,50,50,46,40,PASS,PASS,1,2,PASS,PASS,PASS
44,35,40,62,50,42,40,1,2,1,PASS,PASS,2,2
90,72,50,80,46,30,57,PASS,PASS,PASS,PASS,PASS,PASS,PASS
40,32,35,35,35,30,44,2,PASS,PASS,2,PASS,1,2
66,52,47,44,59,45,77,1,PASS,PASS,FAIL,FAIL,PASS,FAIL
77,61,35,37,20,24,30,1,PASS,1,PASS,2,PASS,2
98,78,30,60,49,51,41,PASS,PASS,PASS,PASS,PASS,PASS,PASS
44,35,30,42,36,35,35,PASS,PASS,PASS,PASS,PASS,PASS,PASS
50,40,35,40,36,30,38,2,PASS,1,PASS,PASS,1,PASS
64,51,31,60,30,40,64,PASS,PASS,2,PASS,PASS,PASS,PASS
51,40,46,50,42,46,43,1,2,2,1,D,1,1
92,73,52,53,76,90,72,PASS,PASS,PASS,PASS,PASS,PASS,PASS
41,32,35,35,36,30,42,1,2,1,1,1,1,1
85,68,53,60,75,63,84,FAIL,FAIL,FAIL,PASS,FAIL,PASS,FAIL
7,5,14,11,30,23,46,FAIL,PASS,PASS,PASS,PASS,PASS,FAIL
22,17,35,35,36,30,42,PASS,PASS,1,PASS,PASS,1,PASS
50,40,30,68,40,43,65,D,1,D,1,1,1,1
107,85,79,93,83,67,81,D,1,D,2,1,1,1
113,90,76,95,57,69,75,1,1,1,PASS,2,PASS,2
93,74,67,62,30,59,47,1,1,1,1,2,1,1
104,83,62,80,76,50,83,PASS,PASS,PASS,PASS,PASS,2,PASS
38,30,30,38,41,46,53,2,FAIL,FAIL,PASS,PASS,PASS,PASS
68,54,0,0,45,45,39,1,PASS,2,PASS,2,1,2
101,80,41,53,49,54,60,D,1,1,1,1,D,1
109,87,84,73,67,81,98,PASS,FAIL,PASS,PASS,FAIL,PASS,FAIL
38,30,13,41,35,21,40,2,PASS,PASS,PASS,PASS,1,PASS
65,52,30,30,38,38,69,PASS,PASS,PASS,PASS,2,2,PASS
62,49,46,30,35,51,56,1,1,D,2,1,1,1
100,80,73,90,57,65,76,1,1,1,1,2,PASS,1
95,76,60,65,83,58,40,PASS,1,1,2,2,2,2
59,47,71,76,53,50,56,PASS,PASS,PASS,PASS,PASS,1,PASS
50,40,35,35,44,37,77,1,1,PASS,1,2,1,1
90,72,67,42,65,54,83,PASS,PASS,1,2,PASS,2,PASS
51,40,30,60,50,41,51,1,1,1,1,2,1,1
104,83,60,82,69,58,75,PASS,PASS,PASS,2,2,2,PASS
51,40,44,35,50,56,54,2,PASS,2,2,2,1,2
74,59,42,54,51,50,63,PASS,PASS,PASS,PASS,PASS,PASS,PASS
51,40,30,36,30,40,39,PASS,FAIL,FAIL,PASS,PASS,2,FAIL
58,46,13,17,35,35,51,PASS,PASS,PASS,PASS,PASS,1,PASS
47,37,35,45,44,41,77,PASS,PASS,PASS,PASS,PASS,1,PASS
44,35,35,30,31,30,71,1,1,D,1,1,D,1
105,84,72,86,69,81,92,1,PASS,2,2,PASS,1,2
86,68,43,54,58,48,62,1,PASS,2,PASS,2,1,2
96,76,37,50,30,56,66,D,1,1,1,2,1,1
119,95,61,74,69,56,68,1,PASS,PASS,1,1,1,1
100,80,45,45,66,61,72,PASS,PASS,PASS,PASS,PASS,1,PASS
58,46,30,35,30,30,60,1,1,1,PASS,1,1,1
105,84,62,72,44,69,80,2,PASS,PASS,PASS,PASS,PASS,PASS
70,56,30,30,48,30,48,2,1,1,2,2,1,1
66,52,68,70,59,59,65,2,2,2,1,2,PASS,2
65,52,52,50,65,52,47,D,1,1,1,1,1,1
113,90,60,80,73,72,67,PASS,PASS,PASS,PASS,PASS,PASS,PASS
38,30,30,35,38,45,44,PASS,PASS,PASS,PASS,PASS,PASS,PASS
44,35,35,35,42,30,42,2,PASS,1,PASS,PASS,PASS,2
71,56,46,70,44,40,48,1,PASS,1,PASS,PASS,PASS,2
85,68,41,80,41,38,47,PASS,PASS,2,PASS,PASS,1,PASS
59,47,40,50,35,40,60,PASS,PASS,PASS,PASS,PASS,PASS,PASS
52,41,30,45,30,30,42,1,PASS,PASS,PASS,PASS,PASS,PASS
100,80,40,40,47,30,44,PASS,FAIL,PASS,PASS,PASS,PASS,FAIL
47,37,12,35,46,39,38,2,PASS,1,1,1,1,2
69,55,30,65,60,60,66,D,1,1,D,PASS,1,1
122,97,60,78,86,46,83,PASS,PASS,2,1,PASS,2,PASS
47,37,45,55,69,38,53,D,2,1,1,1,1,1
110,88,55,60,62,69,71,1,2,1,1,2,D,1
98,78,53,61,68,55,90,1,PASS,PASS,PASS,PASS,1,PASS
75,60,30,44,30,47,61,1,PASS,1,1,2,1,1
88,70,40,75,68,54,70,PASS,PASS,1,PASS,2,PASS,PASS
55,44,30,62,30,52,43,1,2,PASS,1,1,D,1
91,72,56,45,70,68,87,1,1,1,1,1,1,1
91,72,60,64,73,68,73,PASS,PASS,PASS,PASS,PASS,PASS,PASS
61,48,46,40,45,46,46,D,PASS,2,1,PASS,1,2
109,87,30,50,60,43,63,D,1,2,1,1,1,1
118,94,77,56,64,64,67,PASS,PASS,PASS,2,PASS,PASS,PASS
48,38,36,44,59,44,46,1,1,1,PASS,1,1,1
75,60,84,64,47,65,78,PASS,PASS,PASS,PASS,PASS,2,PASS
50,40,35,35,40,42,58,PASS,2,1,1,2,2,2
44,35,55,80,73,55,56,PASS,PASS,PASS,PASS,2,2,PASS
45,36,48,43,43,58,51,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
6,4,7,15,20,16,19,PASS,2,1,2,2,1,2
45,36,58,60,56,50,76,PASS,FAIL,PASS,FAIL,PASS,PASS,FAIL
50,40,19,35,16,40,30,FAIL,FAIL,FAIL,FAIL,PASS,PASS,FAIL
29,23,19,16,17,35,41,1,PASS,1,2,2,1,2
80,64,46,60,52,53,60,1,PASS,PASS,2,PASS,PASS,PASS
80,64,30,39,51,38,38,2,2,1,2,2,1,2
63,50,50,60,56,54,81,PASS,2,1,PASS,PASS,2,PASS
47,37,54,69,43,36,58,PASS,FAIL,FAIL,PASS,PASS,PASS,FAIL
48,38,15,12,35,46,37,1,PASS,1,1,PASS,1,2
79,63,36,61,63,38,61,1,PASS,PASS,1,PASS,1,2
105,84,48,47,71,41,60,D,1,1,1,2,1,1
111,88,64,78,71,52,68,PASS,PASS,PASS,PASS,PASS,PASS,PASS
44,35,30,30,45,35,43,1,1,D,2,PASS,PASS,1
95,76,82,85,56,40,42,FAIL,N/A,N/A,N/A,FAIL,N/A,FAIL
23,18,N/A,N/A,N/A,0,N/A,FAIL,FAIL,PASS,FAIL,FAIL,PASS,FAIL
17,13,11,35,13,24,30,N/A,N/A,N/A,N/A,FAIL,N/A,FAIL
N/A,N/A,N/A,N/A,N/A,0,N/A,PASS,PASS,PASS,PASS,PASS,PASS,PASS
38,30,30,30,42,41,45,2,1,D,1,1,1,1
69,55,66,96,67,78,71,PASS,PASS,PASS,PASS,PASS,PASS,PASS
44,35,35,45,36,30,30,N/A,N/A,N/A,N/A,FAIL,N/A,FAIL
N/A,N/A,N/A,N/A,N/A,0,N/A,1,PASS,2,2,PASS,1,2
84,67,36,56,56,46,67,PASS,1,PASS,2,PASS,1,PASS
38,30,62,30,58,46,68,1,PASS,PASS,PASS,1,2,PASS
75,60,35,41,35,60,55,1,PASS,PASS,2,PASS,PASS,PASS
82,65,35,40,50,30,39,2,D,D,D,D,1,1
66,52,90,91,86,86,79,PASS,PASS,PASS,PASS,PASS,PASS,PASS
44,35,30,38,41,43,47,1,FAIL,FAIL,PASS,PASS,PASS,FAIL
99,79,6,6,37,44,48,FAIL,FAIL,FAIL,PASS,PASS,PASS,FAIL
34,27,11,18,36,31,45,2,PASS,1,2,PASS,2,2
64,51,30,74,57,39,55,1,D,D,FAIL,D,D,D   
102,81,95,96,100,97,97,D,1,D,1,2,1,1
114,91,77,90,73,56,78,1,D,2,1,1,1,1
105,84,92,56,66,67,74,2,1,1,2,1,1,1
68,54,80,71,59,63,65,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
14,11,10,15,20,19,20,2,PASS,PASS,1,PASS,1,2
70,56,35,46,60,41,75,FAIL,FAIL,PASS,FAIL,FAIL,PASS,FAIL
10,8,12,35,20,14,35,D,1,1,1,1,D,1
115,92,74,81,74,70,93,1,PASS,PASS,PASS,PASS,2,PASS
76,60,38,30,48,41,56,PASS,PASS,PASS,2,2,2,PASS
57,45,30,46,53,57,55,1,PASS,2,2,2,D,2
76,60,39,55,51,56,87,D,D,D,D,1,1,D   
119,95,90,98,87,73,83,PASS,PASS,D,PASS,PASS,PASS,PASS
45,36,43,88,36,30,47,1,PASS,2,1,1,D,1
80,64,30,54,69,72,86,1,1,PASS,2,PASS,1,2
79,63,60,45,52,49,70,2,2,2,PASS,1,1,2
65,52,50,52,47,60,66,1,1,D,1,1,1,1
102,81,84,90,62,76,82,PASS,PASS,1,PASS,PASS,1,PASS
50,40,40,60,41,32,60,PASS,PASS,PASS,FAIL,FAIL,2,FAIL
58,46,35,35,15,21,53,2,1,1,PASS,2,PASS,2
63,50,66,74,42,56,37,D,PASS,D,1,2,1,1
109,87,47,88,60,52,71,PASS,FAIL,PASS,PASS,FAIL,FAIL,FAIL
39,31,10,35,43,24,24,PASS,PASS,PASS,PASS,PASS,1,PASS
38,30,30,35,45,42,69,2,PASS,PASS,PASS,PASS,2,PASS
72,57,39,36,41,37,51,1,PASS,1,PASS,PASS,1,2
75,60,30,82,41,39,62,PASS,PASS,PASS,2,PASS,PASS,PASS
38,30,30,40,52,36,47,PASS,PASS,2,PASS,PASS,1,PASS
48,38,30,53,38,39,68,PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL
51,40,35,35,30,22,23,D,D,D,D,1,D,D   
124,99,86,96,85,83,97,1,2,1,1,2,2,1
90,72,53,68,69,59,52,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
6,4,2,18,25,13,23,D,D,D,1,D,1,D   
111,88,99,97,69,90,82,2,PASS,1,PASS,PASS,PASS,PASS
63,50,30,74,42,30,30,1,2,D,PASS,1,2,1
92,73,54,96,49,67,52,FAIL,FAIL,2,PASS,FAIL,1,FAIL
28,22,12,53,37,17,60,PASS,PASS,PASS,PASS,2,PASS,PASS
38,30,35,30,39,58,35,1,1,1,2,2,1,1
103,82,69,66,55,58,61,1,PASS,1,PASS,PASS,1,PASS
76,60,30,64,30,41,62,PASS,PASS,2,PASS,PASS,2,PASS
53,42,35,50,45,38,53,1,PASS,1,2,PASS,1,2
76,60,37,66,58,43,70,2,PASS,2,1,2,D,2
71,56,38,52,65,54,93,1,PASS,1,PASS,PASS,1,2
90,72,47,81,40,45,70,1,PASS,PASS,2,1,1,2
90,72,39,41,54,61,79,1,1,D,1,2,1,1
102,81,64,97,77,57,78,1,1,PASS,1,2,1,1
86,68,64,44,60,59,70,PASS,PASS,PASS,PASS,PASS,PASS,PASS
54,43,30,30,40,30,36,D,1,D,D,1,1,D   
123,98,81,98,91,83,76,PASS,PASS,PASS,PASS,PASS,PASS,PASS
38,30,40,36,38,32,44,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL
13,10,11,12,21,13,30,1,1,1,1,1,D,1
100,80,83,78,80,64,85,1,2,1,1,1,1,1
87,69,50,65,78,64,81,PASS,PASS,PASS,1,PASS,PASS,PASS
57,45,30,47,61,39,46,2,PASS,1,PASS,PASS,PASS,PASS
71,56,40,70,40,42,46,D,D,1,1,2,D,1
109,87,96,70,78,54,85,1,PASS,1,PASS,1,1,1
97,77,45,75,39,62,78,1,2,2,PASS,PASS,2,2
83,66,50,52,46,45,52,FAIL,FAIL,PASS,PASS,PASS,PASS,FAIL
30,24,16,35,35,30,39,2,PASS,2,2,1,1,2
64,51,46,55,50,61,78,1,D,D,1,1,D,1
94,75,86,93,80,70,94,PASS,FAIL,PASS,PASS,PASS,PASS,FAIL
47,37,5,35,44,30,43,1,PASS,1,2,PASS,1,2
79,63,43,63,50,47,72,1,D,D,1,1,1,1
83,66,97,93,78,78,77,D,D,1,1,D,D,D   
107,85,92,83,82,88,96,1,PASS,2,2,2,1,2
92,73,44,51,59,54,70,PASS,PASS,PASS,PASS,PASS,PASS,PASS
45,36,30,38,41,44,49,N/A,N/A,N/A,N/A,FAIL,N/A,FAIL
N/A,N/A,N/A,N/A,N/A,0,N/A,1,PASS,1,2,PASS,1,1
93,74,47,76,57,35,76,1,PASS,PASS,PASS,PASS,1,2
88,70,35,35,48,35,78,2,PASS,PASS,PASS,PASS,1,PASS
71,56,30,42,45,44,62,1,PASS,1,2,PASS,PASS,2
80,64,40,64,53,49,46,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL
28,22,15,6,21,36,15,D,1,D,D,2,1,1
115,92,83,91,92,58,70,FAIL,PASS,2,PASS,PASS,PASS,FAIL
20,16,36,54,47,47,35,FAIL,PASS,PASS,FAIL,FAIL,PASS,FAIL
28,22,35,35,23,14,35,D,1,2,1,2,D,1
113,90,79,52,75,54,98,2,PASS,PASS,PASS,PASS,2,PASS
64,51,30,30,41,41,51,D,D,D,D,D,D,D   
120,96,99,96,98,97,99,2,PASS,PASS,PASS,PASS,PASS,PASS
74,59,41,30,43,39,38,1,2,1,1,1,1,1
85,68,58,65,64,61,60,1,1,D,1,1,1,1
79,63,62,86,65,60,80,1,D,1,2,PASS,1,1
92,73,85,77,51,45,63,PASS,PASS,PASS,PASS,PASS,1,PASS
52,41,30,30,36,30,70,D,1,1,PASS,1,1,1
115,92,68,60,43,65,80,1,PASS,PASS,2,2,2,2
90,72,42,43,54,58,52,1,PASS,PASS,PASS,PASS,PASS,PASS
88,70,30,42,43,35,37,PASS,PASS,2,PASS,PASS,PASS,PASS
38,30,48,57,48,38,49,1,2,PASS,PASS,2,1,2
83,66,53,39,35,56,62,1,2,2,PASS,PASS,2,2
95,76,50,57,30,48,51,FAIL,FAIL,PASS,PASS,PASS,PASS,FAIL
35,28,19,35,40,35,40,D,D,D,1,1,1,1
117,93,86,85,78,83,82,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
25,20,14,12,14,15,18,D,D,D,D,D,D,D   
117,93,96,96,95,99,93,D,1,1,1,1,PASS,1
113,90,75,81,60,78,42,1,PASS,PASS,PASS,PASS,1,2
97,77,30,37,41,44,81,FAIL,PASS,PASS,PASS,PASS,PASS,FAIL
20,16,35,35,45,30,38,1,2,PASS,PASS,PASS,PASS,PASS
94,75,50,37,30,39,42,D,D,D,1,1,D,D   
124,99,92,85,65,75,97,N/A,N/A,N/A,N/A,FAIL,N/A,FAIL
N/A,N/A,N/A,N/A,N/A,0,N/A,2,2,PASS,2,2,PASS,PASS
64,51,55,40,54,52,45,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL
17,13,3,35,18,24,22,1,D,D,1,1,1,1
94,75,97,94,68,69,64,1,PASS,1,1,1,PASS,2
75,60,43,70,60,67,42,D,D,D,D,D,D,D   
117,93,98,94,98,99,96,D,D,D,1,1,D,D   
120,96,88,97,78,73,93,D,2,1,1,2,D,1
115,92,56,62,69,51,90,PASS,PASS,2,2,PASS,PASS,PASS
44,35,31,50,51,30,30,2,2,2,2,PASS,PASS,PASS
72,57,53,51,57,30,30,1,1,D,1,1,1,1
95,76,73,94,73,67,75,1,2,2,1,2,D,1
101,80,53,54,81,50,91,2,PASS,PASS,PASS,PASS,2,PASS
67,53,30,37,30,46,57,1,PASS,1,2,2,1,1
98,78,46,76,56,50,68,1,1,PASS,PASS,PASS,1,2
77,61,62,30,37,40,67,D,1,D,PASS,2,1,1
120,96,73,86,43,58,78,D,1,D,1,PASS,1,1
114,91,67,86,72,42,84,D,1,D,PASS,PASS,PASS,1
117,93,60,88,44,46,47,1,PASS,2,PASS,2,1,2
106,84,35,50,49,50,80,1,PASS,PASS,PASS,PASS,PASS,PASS
84,67,35,35,30,35,35,PASS,PASS,PASS,PASS,PASS,PASS,PASS
58,46,35,41,44,38,45,PASS,FAIL,PASS,2,PASS,PASS,FAIL
46,36,14,35,55,42,35,1,PASS,1,PASS,2,PASS,2
88,70,40,72,45,50,48,FAIL,FAIL,PASS,FAIL,PASS,PASS,FAIL
33,26,12,35,25,30,45,D,D,D,1,D,1,D   
118,94,94,93,80,93,84,PASS,PASS,PASS,PASS,PASS,PASS,PASS
55,44,30,45,39,46,41,1,1,D,1,1,2,1
94,75,75,88,75,63,54,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
3,2,10,5,15,8,3,2,PASS,D,PASS,PASS,1,2
72,57,43,85,46,45,71,D,PASS,1,2,PASS,D,1
123,98,43,61,50,45,92,PASS,PASS,PASS,PASS,PASS,PASS,PASS
44,35,35,35,40,30,35,1,1,1,2,2,1,1
100,80,60,77,53,51,84,D,D,D,1,2,D,1
111,88,90,93,63,51,91,PASS,FAIL,FAIL,FAIL,PASS,1,FAIL
53,42,16,10,16,36,60,1,1,D,1,D,1,1
99,79,78,90,68,90,81,1,PASS,PASS,PASS,PASS,PASS,PASS
77,61,30,30,30,45,38,D,D,D,D,D,D,D   
123,98,91,92,97,91,95,2,1,D,1,D,2,1
65,52,71,93,70,94,51,PASS,PASS,PASS,1,PASS,PASS,PASS
56,44,39,38,61,35,48,1,D,D,1,2,1,1
82,65,99,93,72,54,73,1,PASS,D,PASS,2,D,1
99,79,44,86,49,55,85,PASS,PASS,2,PASS,PASS,PASS,PASS
44,35,47,52,40,42,36,D,1,1,1,1,1,1
124,99,60,65,62,60,77,PASS,PASS,PASS,PASS,PASS,1,PASS
48,38,42,43,48,35,78,PASS,PASS,PASS,2,2,PASS,PASS
60,48,35,46,51,59,48,1,1,2,2,2,PASS,2
87,69,62,53,51,51,47,FAIL,FAIL,FAIL,PASS,FAIL,PASS,FAIL
9,7,12,9,38,24,38,FAIL,D,2,2,PASS,PASS,FAIL
22,17,86,56,57,30,42,1,2,1,2,2,1,2
78,62,54,64,50,57,64,1,PASS,1,1,1,1,1
80,64,37,64,63,66,69,PASS,PASS,2,PASS,PASS,2,PASS
38,30,30,50,36,35,53,1,D,1,1,1,D,1
95,76,95,80,68,77,90,PASS,PASS,PASS,PASS,PASS,PASS,PASS
44,35,30,30,40,43,35,PASS,PASS,PASS,PASS,2,PASS,PASS
53,42,30,32,37,51,36,FAIL,PASS,PASS,FAIL,PASS,PASS,FAIL
36,28,35,35,25,30,39,2,PASS,PASS,PASS,PASS,PASS,PASS
64,51,30,35,30,41,37,1,PASS,2,2,2,1,1
100,80,46,57,52,53,76,1,PASS,PASS,PASS,PASS,PASS,PASS
81,64,30,30,30,30,42,1,1,D,1,1,D,1
106,84,74,94,82,74,88,1,1,2,PASS,PASS,D,1
85,68,73,51,48,36,92,1,2,1,PASS,2,1,1
93,74,51,65,47,52,74,1,2,D,1,PASS,D,1
86,68,57,86,68,44,92,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
9,7,6,8,36,8,10,1,PASS,1,PASS,2,PASS,2
83,66,42,64,40,52,47,D,1,D,D,1,D,D   
117,93,73,94,86,84,93,1,1,2,1,1,D,1
100,80,64,51,68,70,95,PASS,PASS,2,PASS,PASS,2,PASS
46,36,37,54,47,35,53,PASS,PASS,PASS,PASS,PASS,PASS,PASS
50,40,35,39,30,40,35,1,1,1,PASS,PASS,PASS,2
84,67,73,84,30,43,38,1,2,2,1,2,1,1
106,84,50,55,60,54,84,FAIL,PASS,PASS,PASS,PASS,PASS,FAIL
35,28,35,36,37,40,30,2,1,D,1,1,1,1
70,56,64,94,71,78,65,1,PASS,1,1,1,D,1
76,60,30,68,62,61,88,2,PASS,PASS,FAIL,FAIL,2,FAIL
65,52,35,37,21,23,50,PASS,2,1,2,2,PASS,2
52,41,53,81,51,58,46,PASS,FAIL,PASS,2,PASS,1,FAIL
44,35,13,35,53,35,69,FAIL,FAIL,PASS,FAIL,FAIL,PASS,FAIL
21,16,19,35,22,17,35,FAIL,PASS,PASS,PASS,FAIL,FAIL,FAIL
32,25,35,40,36,24,27,PASS,PASS,PASS,PASS,PASS,PASS,PASS
45,36,30,35,43,30,48,PASS,FAIL,PASS,PASS,FAIL,PASS,FAIL
50,40,10,35,30,19,30,D,1,2,1,1,D,1
114,91,61,56,71,68,96,D,1,2,2,1,1,1
110,88,77,53,53,77,66,1,PASS,1,1,PASS,2,2
84,67,37,80,70,33,52,PASS,PASS,PASS,2,PASS,2,PASS
57,45,30,40,58,44,53,D,D,D,D,D,D,D   
116,92,94,95,87,88,97,1,PASS,PASS,PASS,2,1,2
91,72,30,35,43,50,80,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
14,11,14,12,35,16,7,1,PASS,PASS,PASS,PASS,2,PASS
79,63,30,30,35,40,57,1,1,1,1,1,D,1
89,71,60,62,60,62,95,PASS,PASS,FAIL,PASS,PASS,PASS,FAIL
39,31,35,7,36,38,40,PASS,PASS,1,PASS,PASS,PASS,PASS
40,32,35,63,30,30,37,1,1,D,1,1,D,1
106,84,76,98,84,69,90,1,PASS,PASS,PASS,2,1,2
79,63,35,45,43,54,69,2,FAIL,FAIL,FAIL,PASS,2,FAIL
72,57,9,10,23,44,58,1,PASS,1,2,2,1,2
79,63,30,64,54,50,60,FAIL,PASS,FAIL,FAIL,FAIL,PASS,FAIL
11,8,35,17,19,15,44,PASS,FAIL,PASS,PASS,PASS,PASS,FAIL
45,36,8,35,35,35,35,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
8,6,12,15,14,6,13,2,PASS,2,1,PASS,2,PASS
66,52,30,50,65,43,51,1,D,1,1,2,D,1
81,64,96,81,66,56,90,PASS,PASS,PASS,PASS,PASS,1,PASS
61,48,30,37,41,42,67,2,1,1,PASS,PASS,1,2
68,54,71,82,41,46,64,2,PASS,PASS,PASS,PASS,PASS,PASS
69,55,30,35,48,35,40,PASS,PASS,2,PASS,PASS,PASS,PASS
38,30,41,53,45,38,49,PASS,PASS,PASS,PASS,PASS,PASS,PASS
50,40,40,41,39,36,30,1,PASS,D,2,PASS,PASS,2
83,66,47,95,57,30,35,2,PASS,2,2,PASS,1,PASS
70,56,30,52,51,30,61,1,2,PASS,PASS,PASS,PASS,2
93,74,55,46,46,37,43,PASS,PASS,1,PASS,PASS,1,PASS
44,35,30,75,40,47,68,PASS,2,PASS,2,PASS,PASS,PASS
38,30,51,30,50,38,44,PASS,PASS,PASS,PASS,PASS,PASS,PASS
55,44,37,30,40,46,35,1,1,PASS,PASS,PASS,1,2
100,80,73,35,46,44,75,D,PASS,D,2,2,D,1
107,85,49,87,59,55,88,FAIL,FAIL,PASS,FAIL,FAIL,PASS,FAIL
15,12,12,35,25,19,35,1,D,1,1,1,D,1
84,67,90,63,84,80,85,1,PASS,1,PASS,PASS,PASS,2
95,76,46,71,30,41,41,D,D,D,D,1,D,D   
122,97,90,92,91,79,96,PASS,PASS,2,2,PASS,D,2
52,41,47,50,53,40,86,PASS,PASS,PASS,PASS,PASS,PASS,PASS
44,35,30,30,41,36,45,PASS,PASS,PASS,2,PASS,1,PASS
55,44,43,40,54,35,60,D,2,1,1,1,D,1
121,96,51,74,70,63,85,1,1,1,1,2,2,1
78,62,60,77,73,51,50,D,PASS,PASS,1,2,1,1
109,87,41,40,68,56,84,1,1,1,2,PASS,1,1
92,73,71,68,51,47,66,1,1,2,1,1,1,1
100,80,64,55,61,62,64,PASS,PASS,2,PASS,PASS,2,PASS
61,48,37,50,46,40,58,1,2,1,1,PASS,2,1
100,80,54,64,64,44,51,PASS,PASS,PASS,PASS,PASS,PASS,PASS
